filepath,label,writer_id,sheet_id,source_sheet,cell_index
dataset/images/0/ Khan_ 0_ sheet1_ 0.png,0,Khan,sheet1,Khan_0_sheet1.JPG,0
dataset/images/0/ Khan_ 0_ sheet1_ 1.png,0,Khan,sheet1,Khan_0_sheet1.JPG,1
dataset/images/0/ Khan_ 0_ sheet1_ 2.png,0,Khan,sheet1,Khan_0_sheet1.JPG,2
dataset/images/0/ Khan_ 0_ sheet1_ 3.png,0,Khan,sheet1,Khan_0_sheet1.JPG,3
dataset/images/0/ Khan_ 0_ sheet1_ 4.png,0,Khan,sheet1,Khan_0_sheet1.JPG,4
dataset/images/0/ Khan_ 0_ sheet1_ 5.png,0,Khan,sheet1,Khan_0_sheet1.JPG,5
dataset/images/0/ Khan_ 0_ sheet1_ 6.png,0,Khan,sheet1,Khan_0_sheet1.JPG,6
dataset/images/0/ Khan_ 0_ sheet1_ 7.png,0,Khan,sheet1,Khan_0_sheet1.JPG,7
dataset/images/0/ Khan_ 0_ sheet1_ 8.png,0,Khan,sheet1,Khan_0_sheet1.JPG,8
dataset/images/0/ Khan_ 0_ sheet1_ 9.png,0,Khan,sheet1,Khan_0_sheet1.JPG,9
dataset/images/0/ Khan_ 0_ sheet1_ 10.png,0,Khan,sheet1,Khan_0_sheet1.JPG,10
dataset/images/0/ Khan_ 0_ sheet1_ 11.png,0,Khan,sheet1,Khan_0_sheet1.JPG,11
dataset/images/0/ Khan_ 0_ sheet1_ 12.png,0,Khan,sheet1,Khan_0_sheet1.JPG,12
dataset/images/0/ Khan_ 0_ sheet1_ 13.png,0,Khan,sheet1,Khan_0_sheet1.JPG,13
dataset/images/0/ Khan_ 0_ sheet1_ 14.png,0,Khan,sheet1,Khan_0_sheet1.JPG,14
dataset/images/0/ Khan_ 0_ sheet1_ 15.png,0,Khan,sheet1,Khan_0_sheet1.JPG,15
dataset/images/0/ Khan_ 0_ sheet1_ 16.png,0,Khan,sheet1,Khan_0_sheet1.JPG,16
dataset/images/0/ Khan_ 0_ sheet1_ 17.png,0,Khan,sheet1,Khan_0_sheet1.JPG,17
dataset/images/0/ Khan_ 0_ sheet1_ 18.png,0,Khan,sheet1,Khan_0_sheet1.JPG,18
dataset/images/0/ Khan_ 0_ sheet1_ 19.png,0,Khan,sheet1,Khan_0_sheet1.JPG,19
dataset/images/0/ Khan_ 0_ sheet1_ 20.png,0,Khan,sheet1,Khan_0_sheet1.JPG,20
dataset/images/0/ Khan_ 0_ sheet1_ 21.png,0,Khan,sheet1,Khan_0_sheet1.JPG,21
dataset/images/0/ Khan_ 0_ sheet1_ 22.png,0,Khan,sheet1,Khan_0_sheet1.JPG,22
dataset/images/0/ Khan_ 0_ sheet1_ 23.png,0,Khan,sheet1,Khan_0_sheet1.JPG,23
dataset/images/0/ Khan_ 0_ sheet1_ 24.png,0,Khan,sheet1,Khan_0_sheet1.JPG,24
dataset/images/0/ Khan_ 0_ sheet1_ 25.png,0,Khan,sheet1,Khan_0_sheet1.JPG,25
dataset/images/0/ Khan_ 0_ sheet1_ 26.png,0,Khan,sheet1,Khan_0_sheet1.JPG,26
dataset/images/0/ Khan_ 0_ sheet1_ 27.png,0,Khan,sheet1,Khan_0_sheet1.JPG,27
dataset/images/0/ Khan_ 0_ sheet1_ 28.png,0,Khan,sheet1,Khan_0_sheet1.JPG,28
dataset/images/0/ Khan_ 0_ sheet1_ 29.png,0,Khan,sheet1,Khan_0_sheet1.JPG,29
dataset/images/0/ Khan_ 0_ sheet1_ 30.png,0,Khan,sheet1,Khan_0_sheet1.JPG,30
dataset/images/0/ Khan_ 0_ sheet1_ 31.png,0,Khan,sheet1,Khan_0_sheet1.JPG,31
dataset/images/0/ Khan_ 0_ sheet1_ 32.png,0,Khan,sheet1,Khan_0_sheet1.JPG,32
dataset/images/0/ Khan_ 0_ sheet1_ 33.png,0,Khan,sheet1,Khan_0_sheet1.JPG,33
dataset/images/0/ Khan_ 0_ sheet1_ 34.png,0,Khan,sheet1,Khan_0_sheet1.JPG,34
dataset/images/0/ Khan_ 0_ sheet1_ 35.png,0,Khan,sheet1,Khan_0_sheet1.JPG,35
dataset/images/0/ Khan_ 0_ sheet1_ 36.png,0,Khan,sheet1,Khan_0_sheet1.JPG,36
dataset/images/0/ Khan_ 0_ sheet1_ 37.png,0,Khan,sheet1,Khan_0_sheet1.JPG,37
dataset/images/0/ Khan_ 0_ sheet1_ 38.png,0,Khan,sheet1,Khan_0_sheet1.JPG,38
dataset/images/0/ Khan_ 0_ sheet1_ 39.png,0,Khan,sheet1,Khan_0_sheet1.JPG,39
dataset/images/0/ Khan_ 0_ sheet1_ 40.png,0,Khan,sheet1,Khan_0_sheet1.JPG,40
dataset/images/0/ Khan_ 0_ sheet1_ 41.png,0,Khan,sheet1,Khan_0_sheet1.JPG,41
dataset/images/0/ Khan_ 0_ sheet1_ 42.png,0,Khan,sheet1,Khan_0_sheet1.JPG,42
dataset/images/0/ Khan_ 0_ sheet1_ 43.png,0,Khan,sheet1,Khan_0_sheet1.JPG,43
dataset/images/0/ Khan_ 0_ sheet1_ 44.png,0,Khan,sheet1,Khan_0_sheet1.JPG,44
dataset/images/0/ Khan_ 0_ sheet1_ 45.png,0,Khan,sheet1,Khan_0_sheet1.JPG,45
dataset/images/0/ Khan_ 0_ sheet1_ 46.png,0,Khan,sheet1,Khan_0_sheet1.JPG,46
dataset/images/0/ Khan_ 0_ sheet1_ 47.png,0,Khan,sheet1,Khan_0_sheet1.JPG,47
dataset/images/0/ Khan_ 0_ sheet1_ 48.png,0,Khan,sheet1,Khan_0_sheet1.JPG,48
dataset/images/0/ Khan_ 0_ sheet1_ 49.png,0,Khan,sheet1,Khan_0_sheet1.JPG,49
dataset/images/0/ Khan_ 0_ sheet1_ 50.png,0,Khan,sheet1,Khan_0_sheet1.JPG,50
dataset/images/0/ Khan_ 0_ sheet1_ 51.png,0,Khan,sheet1,Khan_0_sheet1.JPG,51
dataset/images/0/ Khan_ 0_ sheet1_ 52.png,0,Khan,sheet1,Khan_0_sheet1.JPG,52
dataset/images/0/ Khan_ 0_ sheet1_ 53.png,0,Khan,sheet1,Khan_0_sheet1.JPG,53
dataset/images/0/ Khan_ 0_ sheet1_ 54.png,0,Khan,sheet1,Khan_0_sheet1.JPG,54
dataset/images/0/ Khan_ 0_ sheet1_ 55.png,0,Khan,sheet1,Khan_0_sheet1.JPG,55
dataset/images/0/ Khan_ 0_ sheet1_ 56.png,0,Khan,sheet1,Khan_0_sheet1.JPG,56
dataset/images/0/ Khan_ 0_ sheet1_ 57.png,0,Khan,sheet1,Khan_0_sheet1.JPG,57
dataset/images/0/ Khan_ 0_ sheet1_ 58.png,0,Khan,sheet1,Khan_0_sheet1.JPG,58
dataset/images/0/ Khan_ 0_ sheet1_ 59.png,0,Khan,sheet1,Khan_0_sheet1.JPG,59
dataset/images/0/ Khan_ 0_ sheet1_ 60.png,0,Khan,sheet1,Khan_0_sheet1.JPG,60
dataset/images/0/ Khan_ 0_ sheet1_ 61.png,0,Khan,sheet1,Khan_0_sheet1.JPG,61
dataset/images/0/ Khan_ 0_ sheet1_ 62.png,0,Khan,sheet1,Khan_0_sheet1.JPG,62
dataset/images/0/ Khan_ 0_ sheet1_ 63.png,0,Khan,sheet1,Khan_0_sheet1.JPG,63
dataset/images/0/ Khan_ 0_ sheet1_ 64.png,0,Khan,sheet1,Khan_0_sheet1.JPG,64
dataset/images/0/ Khan_ 0_ sheet1_ 65.png,0,Khan,sheet1,Khan_0_sheet1.JPG,65
dataset/images/0/ Khan_ 0_ sheet1_ 66.png,0,Khan,sheet1,Khan_0_sheet1.JPG,66
dataset/images/0/ Khan_ 0_ sheet1_ 67.png,0,Khan,sheet1,Khan_0_sheet1.JPG,67
dataset/images/0/ Khan_ 0_ sheet1_ 68.png,0,Khan,sheet1,Khan_0_sheet1.JPG,68
dataset/images/0/ Khan_ 0_ sheet1_ 69.png,0,Khan,sheet1,Khan_0_sheet1.JPG,69
dataset/images/0/ Khan_ 0_ sheet1_ 70.png,0,Khan,sheet1,Khan_0_sheet1.JPG,70
dataset/images/0/ Khan_ 0_ sheet1_ 71.png,0,Khan,sheet1,Khan_0_sheet1.JPG,71
dataset/images/0/ Khan_ 0_ sheet1_ 72.png,0,Khan,sheet1,Khan_0_sheet1.JPG,72
dataset/images/0/ Khan_ 0_ sheet1_ 73.png,0,Khan,sheet1,Khan_0_sheet1.JPG,73
dataset/images/0/ Khan_ 0_ sheet1_ 74.png,0,Khan,sheet1,Khan_0_sheet1.JPG,74
dataset/images/0/ Khan_ 0_ sheet1_ 75.png,0,Khan,sheet1,Khan_0_sheet1.JPG,75
dataset/images/0/ Khan_ 0_ sheet1_ 76.png,0,Khan,sheet1,Khan_0_sheet1.JPG,76
dataset/images/0/ Khan_ 0_ sheet1_ 77.png,0,Khan,sheet1,Khan_0_sheet1.JPG,77
dataset/images/0/ Khan_ 0_ sheet1_ 78.png,0,Khan,sheet1,Khan_0_sheet1.JPG,78
dataset/images/0/ Khan_ 0_ sheet1_ 79.png,0,Khan,sheet1,Khan_0_sheet1.JPG,79
dataset/images/0/ Khan_ 0_ sheet1_ 80.png,0,Khan,sheet1,Khan_0_sheet1.JPG,80
dataset/images/0/ Khan_ 0_ sheet1_ 81.png,0,Khan,sheet1,Khan_0_sheet1.JPG,81
dataset/images/0/ Khan_ 0_ sheet1_ 82.png,0,Khan,sheet1,Khan_0_sheet1.JPG,82
dataset/images/0/ Khan_ 0_ sheet1_ 83.png,0,Khan,sheet1,Khan_0_sheet1.JPG,83
dataset/images/0/ Khan_ 0_ sheet1_ 84.png,0,Khan,sheet1,Khan_0_sheet1.JPG,84
dataset/images/0/ Khan_ 0_ sheet1_ 85.png,0,Khan,sheet1,Khan_0_sheet1.JPG,85
dataset/images/0/ Khan_ 0_ sheet1_ 86.png,0,Khan,sheet1,Khan_0_sheet1.JPG,86
dataset/images/0/ Khan_ 0_ sheet1_ 87.png,0,Khan,sheet1,Khan_0_sheet1.JPG,87
dataset/images/0/ Khan_ 0_ sheet1_ 88.png,0,Khan,sheet1,Khan_0_sheet1.JPG,88
dataset/images/0/ Khan_ 0_ sheet1_ 89.png,0,Khan,sheet1,Khan_0_sheet1.JPG,89
dataset/images/0/ Khan_ 0_ sheet1_ 90.png,0,Khan,sheet1,Khan_0_sheet1.JPG,90
dataset/images/0/ Khan_ 0_ sheet1_ 91.png,0,Khan,sheet1,Khan_0_sheet1.JPG,91
dataset/images/0/ Khan_ 0_ sheet1_ 92.png,0,Khan,sheet1,Khan_0_sheet1.JPG,92
dataset/images/0/ Khan_ 0_ sheet1_ 93.png,0,Khan,sheet1,Khan_0_sheet1.JPG,93
dataset/images/0/ Khan_ 0_ sheet1_ 94.png,0,Khan,sheet1,Khan_0_sheet1.JPG,94
dataset/images/0/ Khan_ 0_ sheet1_ 95.png,0,Khan,sheet1,Khan_0_sheet1.JPG,95
dataset/images/0/ Khan_ 0_ sheet1_ 96.png,0,Khan,sheet1,Khan_0_sheet1.JPG,96
dataset/images/0/ Khan_ 0_ sheet1_ 97.png,0,Khan,sheet1,Khan_0_sheet1.JPG,97
dataset/images/0/ Khan_ 0_ sheet1_ 98.png,0,Khan,sheet1,Khan_0_sheet1.JPG,98
dataset/images/0/ Khan_ 0_ sheet1_ 99.png,0,Khan,sheet1,Khan_0_sheet1.JPG,99
dataset/images/0/ Khan_ 0_ sheet2_ 0.png,0,Khan,sheet2,Khan_0_sheet2.JPG,0
dataset/images/0/ Khan_ 0_ sheet2_ 1.png,0,Khan,sheet2,Khan_0_sheet2.JPG,1
dataset/images/0/ Khan_ 0_ sheet2_ 2.png,0,Khan,sheet2,Khan_0_sheet2.JPG,2
dataset/images/0/ Khan_ 0_ sheet2_ 3.png,0,Khan,sheet2,Khan_0_sheet2.JPG,3
dataset/images/0/ Khan_ 0_ sheet2_ 4.png,0,Khan,sheet2,Khan_0_sheet2.JPG,4
dataset/images/0/ Khan_ 0_ sheet2_ 5.png,0,Khan,sheet2,Khan_0_sheet2.JPG,5
dataset/images/0/ Khan_ 0_ sheet2_ 6.png,0,Khan,sheet2,Khan_0_sheet2.JPG,6
dataset/images/0/ Khan_ 0_ sheet2_ 7.png,0,Khan,sheet2,Khan_0_sheet2.JPG,7
dataset/images/0/ Khan_ 0_ sheet2_ 8.png,0,Khan,sheet2,Khan_0_sheet2.JPG,8
dataset/images/0/ Khan_ 0_ sheet2_ 9.png,0,Khan,sheet2,Khan_0_sheet2.JPG,9
dataset/images/0/ Khan_ 0_ sheet2_ 10.png,0,Khan,sheet2,Khan_0_sheet2.JPG,10
dataset/images/0/ Khan_ 0_ sheet2_ 11.png,0,Khan,sheet2,Khan_0_sheet2.JPG,11
dataset/images/0/ Khan_ 0_ sheet2_ 12.png,0,Khan,sheet2,Khan_0_sheet2.JPG,12
dataset/images/0/ Khan_ 0_ sheet2_ 13.png,0,Khan,sheet2,Khan_0_sheet2.JPG,13
dataset/images/0/ Khan_ 0_ sheet2_ 14.png,0,Khan,sheet2,Khan_0_sheet2.JPG,14
dataset/images/0/ Khan_ 0_ sheet2_ 15.png,0,Khan,sheet2,Khan_0_sheet2.JPG,15
dataset/images/0/ Khan_ 0_ sheet2_ 16.png,0,Khan,sheet2,Khan_0_sheet2.JPG,16
dataset/images/0/ Khan_ 0_ sheet2_ 17.png,0,Khan,sheet2,Khan_0_sheet2.JPG,17
dataset/images/0/ Khan_ 0_ sheet2_ 18.png,0,Khan,sheet2,Khan_0_sheet2.JPG,18
dataset/images/0/ Khan_ 0_ sheet2_ 19.png,0,Khan,sheet2,Khan_0_sheet2.JPG,19
dataset/images/0/ Khan_ 0_ sheet2_ 20.png,0,Khan,sheet2,Khan_0_sheet2.JPG,20
dataset/images/0/ Khan_ 0_ sheet2_ 21.png,0,Khan,sheet2,Khan_0_sheet2.JPG,21
dataset/images/0/ Khan_ 0_ sheet2_ 22.png,0,Khan,sheet2,Khan_0_sheet2.JPG,22
dataset/images/0/ Khan_ 0_ sheet2_ 23.png,0,Khan,sheet2,Khan_0_sheet2.JPG,23
dataset/images/0/ Khan_ 0_ sheet2_ 24.png,0,Khan,sheet2,Khan_0_sheet2.JPG,24
dataset/images/0/ Khan_ 0_ sheet2_ 25.png,0,Khan,sheet2,Khan_0_sheet2.JPG,25
dataset/images/0/ Khan_ 0_ sheet2_ 26.png,0,Khan,sheet2,Khan_0_sheet2.JPG,26
dataset/images/0/ Khan_ 0_ sheet2_ 27.png,0,Khan,sheet2,Khan_0_sheet2.JPG,27
dataset/images/0/ Khan_ 0_ sheet2_ 28.png,0,Khan,sheet2,Khan_0_sheet2.JPG,28
dataset/images/0/ Khan_ 0_ sheet2_ 29.png,0,Khan,sheet2,Khan_0_sheet2.JPG,29
dataset/images/0/ Khan_ 0_ sheet2_ 30.png,0,Khan,sheet2,Khan_0_sheet2.JPG,30
dataset/images/0/ Khan_ 0_ sheet2_ 31.png,0,Khan,sheet2,Khan_0_sheet2.JPG,31
dataset/images/0/ Khan_ 0_ sheet2_ 32.png,0,Khan,sheet2,Khan_0_sheet2.JPG,32
dataset/images/0/ Khan_ 0_ sheet2_ 33.png,0,Khan,sheet2,Khan_0_sheet2.JPG,33
dataset/images/0/ Khan_ 0_ sheet2_ 34.png,0,Khan,sheet2,Khan_0_sheet2.JPG,34
dataset/images/0/ Khan_ 0_ sheet2_ 35.png,0,Khan,sheet2,Khan_0_sheet2.JPG,35
dataset/images/0/ Khan_ 0_ sheet2_ 36.png,0,Khan,sheet2,Khan_0_sheet2.JPG,36
dataset/images/0/ Khan_ 0_ sheet2_ 37.png,0,Khan,sheet2,Khan_0_sheet2.JPG,37
dataset/images/0/ Khan_ 0_ sheet2_ 38.png,0,Khan,sheet2,Khan_0_sheet2.JPG,38
dataset/images/0/ Khan_ 0_ sheet2_ 39.png,0,Khan,sheet2,Khan_0_sheet2.JPG,39
dataset/images/0/ Khan_ 0_ sheet2_ 40.png,0,Khan,sheet2,Khan_0_sheet2.JPG,40
dataset/images/0/ Khan_ 0_ sheet2_ 41.png,0,Khan,sheet2,Khan_0_sheet2.JPG,41
dataset/images/0/ Khan_ 0_ sheet2_ 42.png,0,Khan,sheet2,Khan_0_sheet2.JPG,42
dataset/images/0/ Khan_ 0_ sheet2_ 43.png,0,Khan,sheet2,Khan_0_sheet2.JPG,43
dataset/images/0/ Khan_ 0_ sheet2_ 44.png,0,Khan,sheet2,Khan_0_sheet2.JPG,44
dataset/images/0/ Khan_ 0_ sheet2_ 45.png,0,Khan,sheet2,Khan_0_sheet2.JPG,45
dataset/images/0/ Khan_ 0_ sheet2_ 46.png,0,Khan,sheet2,Khan_0_sheet2.JPG,46
dataset/images/0/ Khan_ 0_ sheet2_ 47.png,0,Khan,sheet2,Khan_0_sheet2.JPG,47
dataset/images/0/ Khan_ 0_ sheet2_ 48.png,0,Khan,sheet2,Khan_0_sheet2.JPG,48
dataset/images/0/ Khan_ 0_ sheet2_ 49.png,0,Khan,sheet2,Khan_0_sheet2.JPG,49
dataset/images/0/ Khan_ 0_ sheet2_ 50.png,0,Khan,sheet2,Khan_0_sheet2.JPG,50
dataset/images/0/ Khan_ 0_ sheet2_ 51.png,0,Khan,sheet2,Khan_0_sheet2.JPG,51
dataset/images/0/ Khan_ 0_ sheet2_ 52.png,0,Khan,sheet2,Khan_0_sheet2.JPG,52
dataset/images/0/ Khan_ 0_ sheet2_ 53.png,0,Khan,sheet2,Khan_0_sheet2.JPG,53
dataset/images/0/ Khan_ 0_ sheet2_ 54.png,0,Khan,sheet2,Khan_0_sheet2.JPG,54
dataset/images/0/ Khan_ 0_ sheet2_ 55.png,0,Khan,sheet2,Khan_0_sheet2.JPG,55
dataset/images/0/ Khan_ 0_ sheet2_ 56.png,0,Khan,sheet2,Khan_0_sheet2.JPG,56
dataset/images/0/ Khan_ 0_ sheet2_ 57.png,0,Khan,sheet2,Khan_0_sheet2.JPG,57
dataset/images/0/ Khan_ 0_ sheet2_ 58.png,0,Khan,sheet2,Khan_0_sheet2.JPG,58
dataset/images/0/ Khan_ 0_ sheet2_ 59.png,0,Khan,sheet2,Khan_0_sheet2.JPG,59
dataset/images/0/ Khan_ 0_ sheet2_ 60.png,0,Khan,sheet2,Khan_0_sheet2.JPG,60
dataset/images/0/ Khan_ 0_ sheet2_ 61.png,0,Khan,sheet2,Khan_0_sheet2.JPG,61
dataset/images/0/ Khan_ 0_ sheet2_ 62.png,0,Khan,sheet2,Khan_0_sheet2.JPG,62
dataset/images/0/ Khan_ 0_ sheet2_ 63.png,0,Khan,sheet2,Khan_0_sheet2.JPG,63
dataset/images/0/ Khan_ 0_ sheet2_ 64.png,0,Khan,sheet2,Khan_0_sheet2.JPG,64
dataset/images/0/ Khan_ 0_ sheet2_ 65.png,0,Khan,sheet2,Khan_0_sheet2.JPG,65
dataset/images/0/ Khan_ 0_ sheet2_ 66.png,0,Khan,sheet2,Khan_0_sheet2.JPG,66
dataset/images/0/ Khan_ 0_ sheet2_ 67.png,0,Khan,sheet2,Khan_0_sheet2.JPG,67
dataset/images/0/ Khan_ 0_ sheet2_ 68.png,0,Khan,sheet2,Khan_0_sheet2.JPG,68
dataset/images/0/ Khan_ 0_ sheet2_ 69.png,0,Khan,sheet2,Khan_0_sheet2.JPG,69
dataset/images/0/ Khan_ 0_ sheet2_ 70.png,0,Khan,sheet2,Khan_0_sheet2.JPG,70
dataset/images/0/ Khan_ 0_ sheet2_ 71.png,0,Khan,sheet2,Khan_0_sheet2.JPG,71
dataset/images/0/ Khan_ 0_ sheet2_ 72.png,0,Khan,sheet2,Khan_0_sheet2.JPG,72
dataset/images/0/ Khan_ 0_ sheet2_ 73.png,0,Khan,sheet2,Khan_0_sheet2.JPG,73
dataset/images/0/ Khan_ 0_ sheet2_ 74.png,0,Khan,sheet2,Khan_0_sheet2.JPG,74
dataset/images/0/ Khan_ 0_ sheet2_ 75.png,0,Khan,sheet2,Khan_0_sheet2.JPG,75
dataset/images/0/ Khan_ 0_ sheet2_ 76.png,0,Khan,sheet2,Khan_0_sheet2.JPG,76
dataset/images/0/ Khan_ 0_ sheet2_ 77.png,0,Khan,sheet2,Khan_0_sheet2.JPG,77
dataset/images/0/ Khan_ 0_ sheet2_ 78.png,0,Khan,sheet2,Khan_0_sheet2.JPG,78
dataset/images/0/ Khan_ 0_ sheet2_ 79.png,0,Khan,sheet2,Khan_0_sheet2.JPG,79
dataset/images/0/ Khan_ 0_ sheet2_ 80.png,0,Khan,sheet2,Khan_0_sheet2.JPG,80
dataset/images/0/ Khan_ 0_ sheet2_ 81.png,0,Khan,sheet2,Khan_0_sheet2.JPG,81
dataset/images/0/ Khan_ 0_ sheet2_ 82.png,0,Khan,sheet2,Khan_0_sheet2.JPG,82
dataset/images/0/ Khan_ 0_ sheet2_ 83.png,0,Khan,sheet2,Khan_0_sheet2.JPG,83
dataset/images/0/ Khan_ 0_ sheet2_ 84.png,0,Khan,sheet2,Khan_0_sheet2.JPG,84
dataset/images/0/ Khan_ 0_ sheet2_ 85.png,0,Khan,sheet2,Khan_0_sheet2.JPG,85
dataset/images/0/ Khan_ 0_ sheet2_ 86.png,0,Khan,sheet2,Khan_0_sheet2.JPG,86
dataset/images/0/ Khan_ 0_ sheet2_ 87.png,0,Khan,sheet2,Khan_0_sheet2.JPG,87
dataset/images/0/ Khan_ 0_ sheet2_ 88.png,0,Khan,sheet2,Khan_0_sheet2.JPG,88
dataset/images/0/ Khan_ 0_ sheet2_ 89.png,0,Khan,sheet2,Khan_0_sheet2.JPG,89
dataset/images/0/ Khan_ 0_ sheet2_ 90.png,0,Khan,sheet2,Khan_0_sheet2.JPG,90
dataset/images/0/ Khan_ 0_ sheet2_ 91.png,0,Khan,sheet2,Khan_0_sheet2.JPG,91
dataset/images/0/ Khan_ 0_ sheet2_ 92.png,0,Khan,sheet2,Khan_0_sheet2.JPG,92
dataset/images/0/ Khan_ 0_ sheet2_ 93.png,0,Khan,sheet2,Khan_0_sheet2.JPG,93
dataset/images/0/ Khan_ 0_ sheet2_ 94.png,0,Khan,sheet2,Khan_0_sheet2.JPG,94
dataset/images/0/ Khan_ 0_ sheet2_ 95.png,0,Khan,sheet2,Khan_0_sheet2.JPG,95
dataset/images/0/ Khan_ 0_ sheet2_ 96.png,0,Khan,sheet2,Khan_0_sheet2.JPG,96
dataset/images/0/ Khan_ 0_ sheet2_ 97.png,0,Khan,sheet2,Khan_0_sheet2.JPG,97
dataset/images/0/ Khan_ 0_ sheet2_ 98.png,0,Khan,sheet2,Khan_0_sheet2.JPG,98
dataset/images/0/ Khan_ 0_ sheet2_ 99.png,0,Khan,sheet2,Khan_0_sheet2.JPG,99
dataset/images/1/ Khan_ 1_ sheet3_ 0.png,1,Khan,sheet3,Khan_1_sheet3.JPG,0
dataset/images/1/ Khan_ 1_ sheet3_ 1.png,1,Khan,sheet3,Khan_1_sheet3.JPG,1
dataset/images/1/ Khan_ 1_ sheet3_ 2.png,1,Khan,sheet3,Khan_1_sheet3.JPG,2
dataset/images/1/ Khan_ 1_ sheet3_ 3.png,1,Khan,sheet3,Khan_1_sheet3.JPG,3
dataset/images/1/ Khan_ 1_ sheet3_ 4.png,1,Khan,sheet3,Khan_1_sheet3.JPG,4
dataset/images/1/ Khan_ 1_ sheet3_ 5.png,1,Khan,sheet3,Khan_1_sheet3.JPG,5
dataset/images/1/ Khan_ 1_ sheet3_ 6.png,1,Khan,sheet3,Khan_1_sheet3.JPG,6
dataset/images/1/ Khan_ 1_ sheet3_ 7.png,1,Khan,sheet3,Khan_1_sheet3.JPG,7
dataset/images/1/ Khan_ 1_ sheet3_ 8.png,1,Khan,sheet3,Khan_1_sheet3.JPG,8
dataset/images/1/ Khan_ 1_ sheet3_ 9.png,1,Khan,sheet3,Khan_1_sheet3.JPG,9
dataset/images/1/ Khan_ 1_ sheet3_ 10.png,1,Khan,sheet3,Khan_1_sheet3.JPG,10
dataset/images/1/ Khan_ 1_ sheet3_ 11.png,1,Khan,sheet3,Khan_1_sheet3.JPG,11
dataset/images/1/ Khan_ 1_ sheet3_ 12.png,1,Khan,sheet3,Khan_1_sheet3.JPG,12
dataset/images/1/ Khan_ 1_ sheet3_ 13.png,1,Khan,sheet3,Khan_1_sheet3.JPG,13
